PWM,Force (Kg)
0,0
30,0.05
50,0.8
70,1.32
90,2.12
110,3.03
130,3.91
150,4.90
170,5.77
190,6.70
210,7.55
230,8.45
250,9.38
255,9.79
255,9.92
250,9.58
230,8.73
210,7.98
190,7.23
170,6.47
150,5.63
130,4.61
110,3.77
90,2.60
70,1.98
50,1.35
30,0.67
10,0.18
0,-0.16
0,0
-10,0
-30,-0.22
-50,-0.1
-70,0.47
-30,0
-50,0.11
-70,0.53
-90,1.12
-110,1.72
-130,2.42
-150,3.13
-170,3.87
-190,4.60
-210,5.31
-230,6.02
-250,6.75
-255,6.92
-250,6.70
-230,6.06
-210,5.49
-190,4.91
-170,4.31
-150,3.75
-130,3.15
-110,2.58
-90,1.99
-70,1.37
-50,0.81
-30,0.32
-10,-0.04
0,-0.22
,
